Timestamp,OrderNumber,CustomerName,Address,ItemDetail,DiningOption,Price,TotalAmount,Status,OrderStartTime,CompletionTime,RecordedBy
2026-06-16T19:49:12+07:00,#001,โต๊ะ 1,โต๊ะ 800,ชุดข้าวไก่นิวออลีนส์+ขนมจีบ(เลือกได้),ทานที่ร้าน,99,198,Completed,2026-06-16T19:49:12+07:00,2026-06-16T19:49:12+07:00,Admin
2026-06-16T19:49:12+07:00,#001,โต๊ะ 1,โต๊ะ 800,"↳ ขนมจีบหมู, ข้าวไก่นิวออลีนส์ซอสเเจ่ว",ทานที่ร้าน,0,198,Completed,2026-06-16T19:49:12+07:00,2026-06-16T19:49:12+07:00,Admin
2026-06-16T19:49:12+07:00,#001,โต๊ะ 1,โต๊ะ 800,ชุดข้าวไก่นิวออลีนส์+ขนมจีบ(เลือกได้),ทานที่ร้าน,99,198,Completed,2026-06-16T19:49:12+07:00,2026-06-16T19:49:12+07:00,Admin
2026-06-16T19:49:12+07:00,#001,โต๊ะ 1,โต๊ะ 800,↳ ข้าวไก่นิวออลีนส์ซอสเเจ่ว,ทานที่ร้าน,0,198,Completed,2026-06-16T19:49:12+07:00,2026-06-16T19:49:12+07:00,Admin
2026-06-16T19:51:02+07:00,#002,โต๊ะ 1,โต๊ะ 800,ไส้กรอกอีสาน,ทานที่ร้าน,65,65,Completed,2026-06-16T19:51:02+07:00,2026-06-16T19:51:02+07:00,Admin
2026-06-16T19:55:46+07:00,#003,โต๊ะ 1,โต๊ะ 800,ขนมจีบกุ้ง,ทานที่ร้าน,39,39,Completed,2026-06-16T19:55:46+07:00,2026-06-16T19:55:46+07:00,Admin
2026-06-16T19:56:49+07:00,#004,โต๊ะ 1,โต๊ะ 800,ข้าวไก่นิวออลีนส์ซอสเเจ่ว,ทานที่ร้าน,65,65,Completed,2026-06-16T19:56:49+07:00,2026-06-16T19:56:49+07:00,Admin
2026-06-16T22:06:38+07:00,#005,โต๊ะ 1,โต๊ะ 800,ข้าวไก่นิวออลีนส์ซอสเเจ่ว (x6),ทานที่ร้าน,390,390,Completed,2026-06-16T22:06:38+07:00,2026-06-16T22:06:38+07:00,Admin
2026-06-16T22:07:26+07:00,#006,โต๊ะ 1,โต๊ะ 800,ข้าวไก่นิวออลีนส์ซอสเเจ่ว,ทานที่ร้าน,65,65,Completed,2026-06-16T22:07:26+07:00,2026-06-16T22:07:26+07:00,Admin
2026-06-16T22:08:18+07:00,#007,โต๊ะ 1,โต๊ะ 800,ข้าวมันไก่ไหหลำ,ทานที่ร้าน,65,65,Completed,2026-06-16T22:08:18+07:00,2026-06-16T22:08:18+07:00,Admin
2026-06-16T22:09:02+07:00,#008,โต๊ะ 1,โต๊ะ 800,ข้าวมันไก่ไหหลำ (x5),ทานที่ร้าน,325,325,Completed,2026-06-16T22:09:02+07:00,2026-06-16T22:09:02+07:00,Admin
2026-06-16T22:09:28+07:00,#009,โต๊ะ 1,โต๊ะ 800,ข้าวผัดกระเทียมไส้กรอก,ทานที่ร้าน,65,65,Completed,2026-06-16T22:09:28+07:00,2026-06-16T22:09:28+07:00,Admin
2026-06-16T22:10:43+07:00,#010,โต๊ะ 1,โต๊ะ 800,ไส้กรอกอีสาน (x3),ทานที่ร้าน,195,195,Completed,2026-06-16T22:10:43+07:00,2026-06-16T22:10:43+07:00,Admin
2026-06-16T22:11:00+07:00,#011,โต๊ะ 1,โต๊ะ 800,ไส้กรอกอีสาน,ทานที่ร้าน,65,65,Completed,2026-06-16T22:11:00+07:00,2026-06-16T22:11:00+07:00,Admin
2026-06-16T22:12:07+07:00,#012,โต๊ะ 1,โต๊ะ 800,ไส้กรอกอีสาน,ทานที่ร้าน,65,65,Completed,2026-06-16T22:12:07+07:00,2026-06-16T22:12:07+07:00,Admin
2026-06-16T22:12:27+07:00,#013,โต๊ะ 1,โต๊ะ 800,ขนมปังหน้าหมู5ชิ้น (x3),ทานที่ร้าน,165,165,Completed,2026-06-16T22:12:27+07:00,2026-06-16T22:12:27+07:00,Admin
2026-06-16T22:12:50+07:00,#014,โต๊ะ 1,โต๊ะ 800,กุยช่าย (x5),ทานที่ร้าน,275,275,Completed,2026-06-16T22:12:50+07:00,2026-06-16T22:12:50+07:00,Admin
2026-06-16T22:13:31+07:00,#015,โต๊ะ 1,โต๊ะ 800,ขนมจีบหมู (x4),ทานที่ร้าน,156,156,Completed,2026-06-16T22:13:31+07:00,2026-06-16T22:13:31+07:00,Admin
2026-06-16T22:13:54+07:00,#016,โต๊ะ 1,โต๊ะ 800,ขนมจีบหมู,ทานที่ร้าน,39,39,Completed,2026-06-16T22:13:54+07:00,2026-06-16T22:13:54+07:00,Admin
