"timestamp","orderNumber","tableNo","paymentMethod","grandTotal","staff","shiftId","splitDetail"
"2026-06-16T12:49:22.361Z","#001","1","เงินโอน","198","Admin","",""
"2026-06-16T12:51:08.852Z","#002","1","เงินโอน","65","Admin","",""
"2026-06-16T12:55:52.199Z","#003","1","เงินสด","39","Admin","",""
"2026-06-16T12:56:56.145Z","#004","1","เงินโอน","65","Admin","",""
"2026-06-16T15:06:46.675Z","#005","1","เงินโอน","390","Admin","",""
"2026-06-16T15:07:34.762Z","#006","1","เงินสด","65","Admin","",""
"2026-06-16T15:08:25.381Z","#007","1","เงินสด","65","Admin","",""
"2026-06-16T15:09:09.706Z","#008","1","เงินโอน","325","Admin","",""
"2026-06-16T15:09:38.589Z","#009","1","เงินโอน","65","Admin","",""
"2026-06-16T15:10:55.321Z","#010","1","เงินโอน","195","Admin","",""
"2026-06-16T15:11:21.987Z","#011","1","เงินสด","65","Admin","",""
"2026-06-16T15:12:13.615Z","#012","1","เงินสด","65","Admin","",""
"2026-06-16T15:12:34.301Z","#013","1","เงินโอน","165","Admin","",""
"2026-06-16T15:12:57.271Z","#014","1","เงินโอน","275","Admin","",""
"2026-06-16T15:13:39.936Z","#015","1","เงินโอน","156","Admin","",""
"2026-06-16T15:14:00.929Z","#016","1","เงินสด","39","Admin","",""
"2026-06-16T15:14:41.236Z","#017","1","เงินสด","78","Admin","",""
"2026-06-16T15:15:20.085Z","#018","1","เงินโอน","819","Admin","",""
"2026-06-16T15:15:42.446Z","#019","1","เงินโอน","117","Admin","",""
"2026-06-16T15:16:20.323Z","#020","1","เงินโอน","99","Admin","",""
"2026-06-16T15:16:49.285Z","#021","1","เงินโอน","99","Admin","",""
"2026-06-16T15:17:08.318Z","#022","1","เงินโอน","99","Admin","",""
"2026-06-16T15:17:49.912Z","#023","1","เงินโอน","100","Admin","",""
"2026-06-16T15:18:15.221Z","#024","1","เงินโอน","100","Admin","",""
"2026-06-16T15:19:56.037Z","#025","1","เงินสด","100","Admin","",""
"2026-06-16T15:20:18.236Z","#026","1","เงินสด","99","Admin","",""
"2026-06-16T15:21:31.598Z","#027","1","เงินสด","178","Admin","",""
"2026-06-16T15:24:18.987Z","#028","1","เงินโอน","356","Admin","",""
"2026-06-16T15:24:49.856Z","#029","1","เงินโอน","178","Admin","",""
"2026-06-16T15:25:44.372Z","#030","1","เงินโอน","316","Admin","",""
"2026-06-16T15:26:20.555Z","#031","1","เงินโอน","237","Admin","",""
"2026-06-16T15:27:11.298Z","#032","1","เงินสด","79","Admin","",""
"2026-06-16T15:27:38.107Z","#033","1","เงินโอน","158","Admin","",""
